code	cname	dotcount	exp	ifshowcode	memo	name	nodesort	sortcode	tag	unit
A010101	地级区划数	0	指地级行政单位即介于省级和县级之间的一级地方行政区域的个数，包括地区、自治州、行政区和盟。	False		地级区划数	1	2		个
A010102	地级市数	0	市是省、自治区内人口较集中，政治、经济、文化等方面较重要的城市。市人民政府为一级地方行政组织。它可属于省、自治区，称省（自治区）辖市，相当地区级。	False		地级市数	1	3		个
A010103	县级区划数	0	县级行政单位指中国地方二级行政区域，是地方政权的基础。县级行政单位包括县、自治县、旗、自治旗、特区、工农区、林区等。	False		县级区划数	1	4		个
A010104	市辖区数	0	市辖区（简称区）城市基层政权组织的行政区域。直辖市和较大的市多将市区范围划分为若干区，设立区人民政府。	False		市辖区数	1	5		个
A010105	县级市数	0	县级市是中国大陆行政区划名称，行政地位与县相同的县级行政区	False		县级市数	1	6		个
A010106	县数	0	县级行政区是中国地方一级行政区域。按中国现行行政区域体制，县可属于省、自治区、直辖市，可属于市、自治川，也可由省、自治区的派出机构“地区”、“盟”管辖。	False		县数	1	7		个
A010107	自治县数	0	自治县是相当于县的民族自治地方。	False		自治县数	1	8		个
A010108	乡镇级区划数	0	县级以下的基层行政区域──乡和镇，是地方三级行政单位。	False		乡镇级区划数	1	9		个
A010109	镇数	0	指报告期末不设区的市、市辖区、县（自治县、旗、自治旗、特区、林区）在辖区内实际设有的镇人民政府个数（必须是经省一级人民政府批准而设置的）。	False		镇数	1	10		个
A01010A	乡数	0	指报告期末不设区的市、市辖区、县（自治县、旗、自治旗、特区、林区）在辖区内实际设有的乡人民政府个数（必须是经省一级人民政府批准而设置的）。乡包含民族自治乡。	False		乡数	1	11		个
A01010B	街道办事处	0	市辖区和不设区的市，根据行政管理的需要，将其所管辖的地区分为若干街道管理区，设立街道办事处，作为市辖区人民政府或市人民政府的派出机关。	False		街道办事处	1	12		个
A010201	三次产业法人单位数	4		False		三次产业法人单位数	4	14		
A010202	分机构类型法人单位数	4		False		分机构类型法人单位数	4	19		
A010203	分行业法人单位数	4		False		分行业法人单位数	4	25		
A010301	按控股情况分企业法人单位数	4		False		按控股情况分企业法人单位数	4	48		
A010302	按登记注册类型分企业法人单位数	4		False		按登记注册类型分企业法人单位数	4	56		
A020101	地区生产总值	2	国内生产总值(GDP)指按市场价格计算的一个国家（或地区）所有常住单位在一定时期内生产活动的最终成果。国内生产总值有三种表现形态，即价值形态、收入形态和产品形态。从价值形态看，它是所有常住单位在一定时期内生产的全部货物和服务价值与同期投入的全部非固定资产货物和服务价值的差额，即所有常住单位的增加值之和；从收入形态看，它是所有常住单位在一定时期内创造并分配给常住单位和非常住单位的初次收入之和；从产品形态看，它是所有常住单位在一定时期内最终使用的货物和服务价值与货物和服务净出口价值之和。在实际核算中，国内生产总值有三种计算方法，即生产法、收入法和支出法。三种方法分别从不同的方面反映国内生产总值及其构成。按当年价格计算。对于一个地区来说，称为地区生产总值或地区GDP。	False	本表按当年价格计算。2004年以前地区生产总值数据执行《国民经济行业分类》（GB/T4754-1994），2004-2012年地区生产总值数据执行《国民经济行业分类》（GB/T4754-2002）,三次产业划分根据《三次产业划分规定》（2003）。2013年开始，行业分类执行《国民经济行业分类》（GB/T4754-2011），三次产业划分根据《三次产业划分规定》（2012）。	地区生产总值	1	70		亿元
A020102	第一产业增加值	2	第一产业增加值是指按市场价格计算的一个国家（或地区）所有常住单位在一定时期内从事第一产业生产活动的最终成果。第一产业是指农、林、牧、渔业。	False		第一产业增加值	1	71		亿元
A020103	第二产业增加值	2	第二产业增加值是指按市场价格计算的一个国家（或地区）所有常住单位在一定时期内从事第二产业生产活动的最终成果。第二产业是指采矿业，制造业，电力、煤气及水的生产和供应业，建筑业。	False		第二产业增加值	1	72		亿元
A020104	第三产业增加值	2	第三产业增加值是指按市场价格计算的一个国家（或地区）所有常住单位在一定时期内从事第三产业生产活动的最终成果。第三产业是指除第一、二产业以外的其他行业。	False		第三产业增加值	1	73		亿元
A020105	农林牧渔业增加值	2		False		农林牧渔业增加值	1	74		亿元
A020106	工业增加值	2	工业增加值是指工业企业在报告期内以货币形式表现的从事工业生产活动的最终成果。工业增加值有两种计算方法：一是生产法，即工业总产出减去工业中间投入加上应交增值税；二是收入法，即从收入的角度出发，根据生产要素在生产过程中应得到的收入份额计算，具体构成项目有固定资产折旧、劳动者报酬、生产税净额、营业盈余。	False		工业增加值	1	75		亿元
A020107	建筑业增加值	2	建筑业增加值是指建筑业企业在报告期内以货币形式表现的从事建筑业生产活动的最终成果。目前建筑业增加值采用收入法计算，即从收入的角度出发，根据生产要素在生产过程中应得的收入份额计算。	False		建筑业增加值	1	76		亿元
A020108	批发和零售业增加值	2	批发和零售业增加值是指按市场价格计算的一个国家（或地区）所有常住单位在一定时期内从事批发和零售业生产活动的最终成果。	False		批发和零售业增加值	1	77		亿元
A020109	批发和零售贸易餐饮业增加值	2	批发和零售贸易餐饮业增加值是指按市场价格计算的一个国家（或地区）所有常住单位在一定时期内从事批发和零售贸易餐饮业生产活动的最终成果。	False		批发和零售贸易餐饮业增加值	1	78		亿元
A02010A	交通运输、仓储和邮政业增加值	2	交通运输、仓储和邮政业增加值是指按市场价格计算的一个国家（或地区）所有常住单位在一定时期内从事交通运输、仓储和邮政业生产活动的最终成果。	False		交通运输、仓储和邮政业增加值	1	79		亿元
A02010B	交通运输、仓储和邮电通信业增加值	2	交通运输、仓储和邮电通信业增加值是指按市场价格计算的一个国家（或地区）所有常住单位在一定时期内从事交通运输、仓储和邮电通信业生产活动的最终成果。	False		交通运输、仓储和邮电通信业增加值	1	80		亿元
A02010C	住宿和餐饮业增加值	2	住宿和餐饮业增加值是指按市场价格计算的一个国家（或地区）所有常住单位在一定时期内从事住宿和餐饮业生产活动的最终成果。	False		住宿和餐饮业增加值	1	81		亿元
A02010D	金融业增加值	2	金融业增加值是指按市场价格计算的一个国家（或地区）所有常住单位在一定时期内从事金融业生产活动的最终成果。	False		金融业增加值	1	82		亿元
A02010E	房地产业增加值	2	房地产业增加值是指按市场价格计算的一个国家（或地区）所有常住单位在一定时期内从事房地产业生产活动的最终成果。	False		房地产业增加值	1	83		亿元
A02010F	其他行业增加值	2	其他行业增加值是指按市场价格计算的一个国家（或地区）所有常住单位在一定时期内从事其他行业生产活动的最终成果。	False		其他行业增加值	1	84		亿元
A02010G	人均地区生产总值	0	人均国内生产总值是指国内生产总值的绝对值与该年平均人口的比值，是衡量一个国家或地区每个居民对该国家或地区的经济贡献或创造价值的指标。	False		人均地区生产总值	1	85		元/人
A020201	地区生产总值指数(上年=100)	1	地区生产总值指数指反映一定时期内地区生产总值变动趋势和程度的相对数，该指标是以上一年为基期计算的指数。按不变价格计算。	False		地区生产总值指数(上年=100)	1	87		
A020202	第一产业增加值指数(上年=100)	1	第一产业增加值指数是指反映一定时期内第一产业增加值变动趋势和程度的相对数，该指标是以上一年为基期计算的指数。按不变价格计算。	False		第一产业增加值指数(上年=100)	1	88		
A020203	第二产业增加值指数(上年=100)	1	第二产业增加值指数是指反映一定时期内第二产业增加值变动趋势和程度的相对数，该指标是以上一年为基期计算的指数。按不变价格计算。	False		第二产业增加值指数(上年=100)	1	89		
A020204	第三产业增加值指数(上年=100)	1	第三产业增加值指数是指反映一定时期内第三产业增加值变动趋势和程度的相对数，该指标是以上一年为基期计算的指数。按不变价格计算。	False		第三产业增加值指数(上年=100)	1	90		
A020301	收入法生产总值	2	从收入角度计算的地区生产总值，等于劳动者报酬、生产税净额、固定资产折旧和营业盈余之和。	False		收入法生产总值	1	92		亿元
A020302	劳动者报酬	2	劳动者报酬指劳动者因从事生产活动所获得的全部报酬。包括劳动者获得的各种形式的工资、奖金和津贴，既包括货币形式的，也包括实物形式的，还包括劳动者所享受的公费医疗和医药卫生费、上下班交通补贴、单位支付的社会保险费、住房公积金等。	False		劳动者报酬	1	93		亿元
A020303	生产税净额	2	生产税净额指生产税减生产补贴后的余额。生产税指政府对生产单位从事生产、销售和经营活动以及因从事生产活动使用某些生产要素(如固定资产、土地、劳动力)所征收的各种税、附加费和规费。生产补贴与生产税相反，指政府对生产单位的单方面转移支出，因此视为负生产税，包括政策亏损补贴、价格补贴等。	False		生产税净额	1	94		亿元
A020304	固定资产折旧	2	固定资产折旧指一定时期内为弥补固定资产损耗按照规定的固定资产折旧率提取的固定资产折旧，或按国民经济核算统一规定的折旧率虚拟计算的固定资产折旧。它反映了固定资产在当期生产中的转移价值。各类企业和企业化管理的事业单位的固定资产折旧是指实际计提的折旧费；不计提折旧的政府机关、非企业化管理的事业单位和居民住房的固定资产折旧是按照统一规定的折旧率和固定资产原值计算的虚拟折旧。原则上，固定资产折旧应按固定资产的重置价值计算，但是目前我国尚不具备对全社会固定资产进行重估价的基础，所以暂时只能采用上述办法。	False		固定资产折旧	1	95		亿元
A020305	营业盈余	2	营业盈余指常住单位创造的增加值扣除劳动者报酬、生产税净额和固定资产折旧后的余额。它相当于企业的营业利润加上生产补贴，但要扣除从利润中开支的工资和福利等。	False		营业盈余	1	96		亿元
A020401	支出法生产总值	2	支出法国内生产总值是从最终使用的角度反映一个国家(或地区)一定时期内生产活动最终成果的一种方法，包括最终消费支出、资本形成总额及货物和服务净出口三部分。计算公式为：支出法国内生产总值=最终消费支出+资本形成总额+货物和服务净出口	False	由于采取分级核算，各地区国内生产总值相加不等于全国总计。	支出法生产总值	1	98		亿元
A020402	最终消费	2	最终消费支出指常住单位为满足物质、文化和精神生活的需要，从本国经济领土和国外购买的货物和服务的支出。它不包括非常住单位在本国经济领土内的消费支出。最终消费支出分为居民消费支出和政府消费支出。	False		最终消费	1	99		亿元
A020403	居民消费	2	居民消费支出指常住住户在一定时期内对于货物和服务的全部最终消费支出。居民消费支出除了直接以货币形式购买的货物和服务的消费支出外，还包括以其他方式获得的货物和服务的消费支出，即所谓的虚拟消费支出。居民虚拟消费支出包括如下几种类型：单位以实物报酬及实物转移的形式提供给劳动者的货物和服务；住户生产并由本住户消费了的货物和服务，其中的服务仅指住户的自有住房服务和付酬的家庭雇员提供的家庭和个人服务；金融机构提供的金融媒介服务。	False		居民消费	1	100		亿元
A020404	农村居民消费	2		False		农村居民消费	1	101		亿元
A020405	城镇居民消费	2		False		城镇居民消费	1	102		亿元
A020406	政府消费	2	政府消费支出指政府部门为全社会提供的公共服务的消费支出和免费或以较低的价格向居民住户提供的货物和服务的净支出，前者等于政府服务的产出价值减去政府单位所获得的经营收入的价值，后者等于政府部门免费或以较低价格向居民住户提供的货物和服务的市场价值减去向住户收取的价值。	False		政府消费	1	103		亿元
A020407	资本形成总额	2	资本形成总额指常住单位在一定时期内获得减去处置的固定资产和存货的净额，包括固定资本形成总额和存货增加两部分。	False		资本形成总额	1	104		亿元
A020408	固定资本形成总额	2	固定资本形成总额指常住单位在一定时期内获得的固定资产减处置的固定资产的价值总额。固定资产是通过生产活动生产出来的，且其使用年限在一年以上、单位价值在规定标准以上的资产，不包括自然资产。可分为有形固定资本形成总额和无形固定资本形成总额。有形固定资本形成总额包括一定时期内完成的建筑工程、安装工程和设备工器具购置(减处置)价值，以及土地改良、新增役、种、奶、毛、娱乐用牲畜和新增经济林木价值。无形固定资本形成总额包括矿藏的勘探、计算机软件等获得减处置。	False		固定资本形成总额	1	105		亿元
A020409	存货增加	2	存货增加指常住单位在一定时期内存货实物量变动的市场价值，即期末价值减期初价值的差额，再扣除当期由于价格变动而产生的持有收益。存货增加可以是正值，也可以是负值，正值表示存货上升，负值表示存货下降。存货包括生产单位购进的原材料、燃料和储备物资等存货，以及生产单位生产的产成品、在制品和半成品等存货。	False		存货增加	1	106		亿元
A02040A	货物和服务净流出	2	货物和服务净出口指货物和服务出口减货物和服务进口的差额。出口包括常住单位向非常住单位出售或无偿转让的各种货物和服务的价值；进口包括常住单位从非常住单位购买或无偿得到的各种货物和服务的价值。由于服务活动的提供与使用同时发生，一般把常住单位从非常住单位得到的服务作为进口，非常住单位从常住单位得到的服务作为出口。货物的出口和进口都按离岸价格计算。	False		货物和服务净流出	1	107		亿元
A02040B	最终消费率	1		False		最终消费率	1	108		%
A02040C	资本形成率	1		False		资本形成率	1	109		%
A020501	居民消费水平	0	居民消费水平指按常住人口平均计算的居民消费支出。	False		居民消费水平	1	111		元
A020502	农村居民消费水平	0		False		农村居民消费水平	1	112		元
