WEO Country Group Code	WEO Subject Code	Country Group Name	Subject Descriptor	Subject Notes	Units	Scale	Series-specific Notes	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	Estimates Start After
1	NGDP_RPCH	World	Gross domestic product, constant prices		Percent change			2.066	1.862	0.564	2.776	4.551	3.628	3.66	3.937	4.641	3.796	3.453	2.619	2.276	2.091	3.256	3.325	3.849	3.995	2.584	3.58	4.806	2.463	2.989	4.278	5.423	4.91	5.465	5.569	3.023	-0.075	5.412	4.287	3.509	3.484	3.587	3.455	3.39	3.811	3.605	3.013	3.41	3.555	3.557	3.607	3.619	
1	NGDP_RPCHMK	World	Gross domestic product, constant prices		Percent change (market exchange rates)			1.663	1.966	0.36	2.828	4.807	3.636	3.404	3.8	4.542	3.79	3.236	1.929	2.53	1.476	3.199	2.928	3.299	3.497	2.359	3.181	4.219	1.701	1.979	2.891	4.036	3.591	3.98	3.832	1.523	-1.991	4.124	3.075	2.472	2.608	2.846	2.824	2.57	3.227	3.077	2.47	2.747	2.826	2.8	2.833	2.853	
1	NGDPD	World	Gross domestic product, current prices		U.S. dollars	Billions		11,156.37	11,419.22	11,213.90	11,509.84	11,913.88	12,452.88	14,675.75	16,893.11	19,003.48	19,996.38	23,521.31	24,361.44	25,197.76	25,883.61	27,825.89	31,024.29	31,884.15	31,811.07	31,666.15	32,780.61	33,858.45	33,609.13	34,741.06	38,999.86	43,905.53	47,570.50	51,536.19	58,159.06	63,775.90	60,435.58	66,073.38	73,311.82	74,690.36	76,842.43	78,944.49	74,779.48	75,823.65	80,262.15	84,929.51	86,598.83	90,519.61	95,353.02	100,409.01	105,786.19	111,569.46	
1	PPPGDP	World	Gross domestic product, current prices		Purchasing power parity; international dollars	Billions		13,270.50	14,769.84	15,729.75	16,762.79	18,127.77	19,367.37	20,450.82	21,763.80	23,543.13	25,364.46	27,390.80	28,997.28	33,040.53	34,496.96	36,274.57	38,380.85	40,553.85	42,915.99	44,596.58	46,811.47	50,149.41	52,485.55	54,866.68	58,158.80	62,874.18	67,950.65	73,748.57	79,826.67	83,726.67	84,047.01	89,523.71	95,143.26	100,019.90	105,215.99	110,902.63	115,799.42	120,832.22	127,703.39	135,435.95	141,859.63	149,533.60	157,972.10	166,794.50	176,187.83	186,155.68	
1	NGDP_D	World	Gross domestic product, deflator		Index, 2000=100																																																
1	NGDPRPPPPC	World	Gross domestic product per capita, constant prices		Purchasing power parity; 2011 international dollar	Units																																															
1	PPPPC	World	Gross domestic product per capita, current prices		Purchasing power parity; international dollars	Units																																															
1	NGAP_NPGDP	World	Output gap		Percent of potential GDP																																																
1	PPPSH	World	Gross domestic product based on purchasing-power-parity (PPP) share of world total	These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   Please note:   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.  For further information see Box A2 in the April 2004 World Economic Outlook, Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth and Box A.1 in the May 2000 World Economic Outlook for a summary of the revised PPP-based weights, and Annex IV of the May 1993 World Economic Outlook. See also Anne Marie Gulde and Marianne Schulze-Ghattas, "Purchasing Power Parity Based Weights for the World Economic Outlook," in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.	Percent																																																
1	NID_NGDP	World	Investment		Percent of GDP			26.385	25.853	24.419	23.888	24.95	24.62	24.392	24.729	25.671	26.107	24.116	23.622	24.043	23.596	23.951	24.201	24.063	24.047	23.768	23.708	24.231	23.428	22.762	22.99	23.709	24.113	24.674	25.267	25.292	23.239	24.447	25.28	25.461	25.544	25.803	25.964	25.414	25.964	26.316	26.218	26.31	26.436	26.549	26.64	26.704	
