	index	i	id	isParent	name	level	pid	pname
0	0	0	A01	True	综合	0	-1	-1
1	1	1	A02	True	国民经济核算	0	-1	-1
2	2	2	A03	True	人口	0	-1	-1
3	3	3	A04	True	就业人员和工资	0	-1	-1
4	4	4	A05	True	固定资产投资和房地产	0	-1	-1
5	5	5	A06	True	对外经济贸易	0	-1	-1
6	6	6	A07	True	能源	0	-1	-1
7	7	7	A08	True	财政	0	-1	-1
8	8	8	A09	True	价格指数	0	-1	-1
9	9	9	A0A	True	人民生活	0	-1	-1
10	10	10	A0B	True	城市概况	0	-1	-1
11	11	11	A0C	True	资源和环境	0	-1	-1
12	12	12	A0D	True	农业	0	-1	-1
13	13	13	A0E	True	工业	0	-1	-1
14	14	14	A0F	True	建筑业	0	-1	-1
15	15	15	A0G	True	运输和邮电	0	-1	-1
16	16	16	A0H	False	社会消费品零售总额	0	-1	-1
17	17	17	A0I	True	批发和零售业	0	-1	-1
18	18	18	A0J	True	住宿和餐饮业	0	-1	-1
19	19	19	A0K	True	旅游业	0	-1	-1
20	20	20	A0L	True	金融业	0	-1	-1
21	21	21	A0M	True	教育	0	-1	-1
22	22	22	A0N	True	科技	0	-1	-1
23	23	23	A0O	True	卫生	0	-1	-1
24	24	24	A0P	True	社会服务	0	-1	-1
25	25	25	A0Q	True	文化	0	-1	-1
26	26	26	A0R	True	体育	0	-1	-1
27	27	27	A0S	True	公共管理、社会保障及其他	0	-1	-1
28	0	0	A0101	False	行政区划	1	A01	综合
29	1	1	A0102	True	法人单位数	1	A01	综合
30	2	2	A0103	True	企业法人单位数	1	A01	综合
31	3	0	A0201	False	地区生产总值	1	A02	国民经济核算
32	4	1	A0202	False	地区生产总值指数	1	A02	国民经济核算
33	5	2	A0203	False	收入法地区生产总值	1	A02	国民经济核算
34	6	3	A0204	False	支出法地区生产总值	1	A02	国民经济核算
35	7	4	A0205	False	居民消费水平	1	A02	国民经济核算
36	8	0	A0301	False	总人口	1	A03	人口
37	9	1	A0302	False	人口出生率、死亡率和自然增长率	1	A03	人口
38	10	2	A0303	False	人口平均预期寿命	1	A03	人口
39	11	3	A0308	True	人口抽样调查样本数据	1	A03	人口
40	12	0	A0401	False	按行业分城镇单位就业人员	1	A04	就业人员和工资
41	13	1	A0402	False	按行业分私营企业和个体就业人员	1	A04	就业人员和工资
42	14	2	A0403	False	按行业分城镇私营企业和个体就业人员	1	A04	就业人员和工资
43	15	3	A0404	False	私营企业就业人员	1	A04	就业人员和工资
44	16	4	A0405	False	个体就业人员	1	A04	就业人员和工资
45	17	5	A0406	False	城镇单位就业人员工资总额和指数	1	A04	就业人员和工资
46	18	6	A0407	False	城镇单位就业人员平均工资和指数	1	A04	就业人员和工资
47	19	7	A0408	False	按登记注册类型分城镇单位就业人员平均工资	1	A04	就业人员和工资
48	20	8	A0409	False	按行业分城镇单位就业人员工资总额	1	A04	就业人员和工资
49	21	9	A040A	False	按行业分城镇单位就业人员平均工资	1	A04	就业人员和工资
50	22	10	A040B	False	按行业分城镇私营单位就业人员平均工资	1	A04	就业人员和工资
51	23	11	A040C	False	城镇登记失业人员及失业率	1	A04	就业人员和工资
52	24	0	A0501	False	全社会固定资产投资	1	A05	固定资产投资和房地产
53	25	1	A0502	False	按登记注册类型分全社会固定资产投资	1	A05	固定资产投资和房地产
54	26	2	A0503	False	按资金来源分固定资产投资	1	A05	固定资产投资和房地产
55	27	3	A0504	False	全社会住宅投资	1	A05	固定资产投资和房地产
56	28	4	A0505	False	按行业分全社会固定资产投资	1	A05	固定资产投资和房地产
57	29	5	A0506	False	全社会建设总规模	1	A05	固定资产投资和房地产
58	30	6	A0507	False	全社会房屋施工、竣工面积和价值	1	A05	固定资产投资和房地产
59	31	7	A0508	False	固定资产投资(不含农户)资金来源	1	A05	固定资产投资和房地产
60	32	8	A0509	False	按隶属关系分固定资产投资(不含农户)	1	A05	固定资产投资和房地产
61	33	9	A050A	False	按构成和建设性质分固定资产投资(不含农户)	1	A05	固定资产投资和房地产
62	34	10	A050B	False	固定资产投资(不含农户)建设规模	1	A05	固定资产投资和房地产
63	35	11	A050C	False	按行业分固定资产投资(不含农户)	1	A05	固定资产投资和房地产
64	36	12	A050D	False	按项目规模分固定资产投资(不含农户)	1	A05	固定资产投资和房地产
65	37	13	A050E	False	能源工业固定资产投资(不含农户)	1	A05	固定资产投资和房地产
66	38	14	A050F	False	固定资产投资(不含农户)房屋施工、竣工面积和房屋竣工价值	1	A05	固定资产投资和房地产
67	39	15	A050G	False	固定资产投资(不含农户)按行业分新增固定资产	1	A05	固定资产投资和房地产
68	40	16	A050H	False	固定资产投资(不含农户)施工、投产项目个数	1	A05	固定资产投资和房地产
69	41	17	A050I	False	固定资产投资(不含农户)新增固定资产及交付使用率	1	A05	固定资产投资和房地产
70	42	18	A050J	False	农村农户固定资产投资和建房	1	A05	固定资产投资和房地产
71	43	19	A051C	False	房地产开发企业个数	1	A05	固定资产投资和房地产
72	44	20	A051D	False	房地产开发企业从业人员数	1	A05	固定资产投资和房地产
73	45	21	A051E	False	房地产开发企业土地开发及购置	1	A05	固定资产投资和房地产
74	46	22	A051F	False	房地产开发企业投资总规模及完成情况	1	A05	固定资产投资和房地产
75	47	23	A051G	False	按用途分房地产开发企业完成投资	1	A05	固定资产投资和房地产
76	48	24	A051H	False	房地产开发企业资金来源	1	A05	固定资产投资和房地产
77	49	25	A051I	False	房地产开发企业房屋建筑面积和造价	1	A05	固定资产投资和房地产
78	50	26	A051J	False	按用途分房地产开发企业新开工面积	1	A05	固定资产投资和房地产
79	51	27	A051K	False	按用途分商品房销售面积	1	A05	固定资产投资和房地产
80	52	28	A051L	False	按用途分商品房销售额	1	A05	固定资产投资和房地产
81	53	29	A051M	False	按用途分商品房平均销售价格	1	A05	固定资产投资和房地产
82	54	30	A051N	False	房地产开发企业资产负债	1	A05	固定资产投资和房地产
83	55	31	A051O	False	房地产开发企业经营情况	1	A05	固定资产投资和房地产
84	56	32	A051P	False	按项目规模分房地产开发完成投资	1	A05	固定资产投资和房地产
85	57	33	A051Q	False	房地产开发企业成套住宅竣工与销售情况	1	A05	固定资产投资和房地产
86	58	0	A0601	False	按经营单位所在地分货物进出口总额	1	A06	对外经济贸易
87	59	1	A0602	False	按境内目的地和货源地分货物进出口总额	1	A06	对外经济贸易
88	60	2	A0603	False	外商投资企业货物进出口总额	1	A06	对外经济贸易
89	61	3	A0604	False	外商投资企业年底注册登记情况	1	A06	对外经济贸易
90	62	0	A0701	False	按行业分国有经济能源工业固定资产投资	1	A07	能源
91	63	1	A0702	False	能源工业分行业投资	1	A07	能源
92	64	2	A0703	False	主要能源产品生产量	1	A07	能源
93	65	3	A0704	False	城市能源产品供应	1	A07	能源
94	66	4	A0705	False	城市集中供热	1	A07	能源
95	67	5	A0706	False	主要能源产品消费量	1	A07	能源
96	68	6	A0707	False	能源消耗指标	1	A07	能源
97	69	0	A0801	False	地方财政收入	1	A08	财政
98	70	1	A0802	False	地方财政支出	1	A08	财政
99	71	0	A0901	False	居民消费价格指数和商品零售价格指数(上年=100)	1	A09	价格指数
100	72	1	A090A	False	居民消费价格分类指数(上年=100)(2016-)	1	A09	价格指数
101	73	2	A0902	False	居民消费价格分类指数(上年=100)(-2015)	1	A09	价格指数
102	74	3	A0903	False	农村居民消费价格分类指数(上年=100)	1	A09	价格指数
103	75	4	A0904	False	商品零售价格分类指数(上年=100)	1	A09	价格指数
104	76	5	A0905	False	农村商品零售价格指数(上年=100)	1	A09	价格指数
105	77	6	A0906	False	农业生产资料价格分类指数(上年=100)	1	A09	价格指数
106	78	7	A0907	False	农产品生产价格指数(上年=100)	1	A09	价格指数
107	79	8	A0908	False	工业生产者出厂价格指数(上年=100)	1	A09	价格指数
108	80	9	A0909	False	固定资产投资价格指数(上年=100)	1	A09	价格指数
109	81	0	A0A00	False	全体及分城乡居民收支基本情况(新口径)	1	A0A	人民生活
110	82	1	A0A01	False	城乡居民人民币储蓄存款(年底余额)	1	A0A	人民生活
111	83	2	A0A02	False	城镇居民平均每人全年家庭收入来源	1	A0A	人民生活
112	84	3	A0A03	False	城镇居民家庭平均每人全年消费性支出	1	A0A	人民生活
113	85	4	A0A04	False	城镇居民家庭平均每百户耐用消费品拥有量	1	A0A	人民生活
114	86	5	A0A05	False	按来源分农村居民家庭人均纯收入	1	A0A	人民生活
