	id	name	level	pid	pname	ppid	ppname
0	A010101	地级区划数	2	A0101	行政区划	A01	综合
1	A010102	地级市数	2	A0101	行政区划	A01	综合
2	A010103	县级区划数	2	A0101	行政区划	A01	综合
3	A010104	市辖区数	2	A0101	行政区划	A01	综合
4	A010105	县级市数	2	A0101	行政区划	A01	综合
5	A010106	县数	2	A0101	行政区划	A01	综合
6	A010107	自治县数	2	A0101	行政区划	A01	综合
7	A010108	乡镇级区划数	2	A0101	行政区划	A01	综合
8	A010109	镇数	2	A0101	行政区划	A01	综合
9	A01010A	乡数	2	A0101	行政区划	A01	综合
10	A01010B	街道办事处	2	A0101	行政区划	A01	综合
11	A010201	三次产业法人单位数	2	A0102	法人单位数	A01	综合
12	A010202	分机构类型法人单位数	2	A0102	法人单位数	A01	综合
13	A010203	分行业法人单位数	2	A0102	法人单位数	A01	综合
14	A010301	按控股情况分企业法人单位数	2	A0103	企业法人单位数	A01	综合
15	A010302	按登记注册类型分企业法人单位数	2	A0103	企业法人单位数	A01	综合
16	A020101	地区生产总值	2	A0201	地区生产总值	A02	国民经济核算
17	A020102	第一产业增加值	2	A0201	地区生产总值	A02	国民经济核算
18	A020103	第二产业增加值	2	A0201	地区生产总值	A02	国民经济核算
19	A020104	第三产业增加值	2	A0201	地区生产总值	A02	国民经济核算
20	A020105	农林牧渔业增加值	2	A0201	地区生产总值	A02	国民经济核算
21	A020106	工业增加值	2	A0201	地区生产总值	A02	国民经济核算
22	A020107	建筑业增加值	2	A0201	地区生产总值	A02	国民经济核算
23	A020108	批发和零售业增加值	2	A0201	地区生产总值	A02	国民经济核算
24	A020109	批发和零售贸易餐饮业增加值	2	A0201	地区生产总值	A02	国民经济核算
25	A02010A	交通运输、仓储和邮政业增加值	2	A0201	地区生产总值	A02	国民经济核算
26	A02010B	交通运输、仓储和邮电通信业增加值	2	A0201	地区生产总值	A02	国民经济核算
27	A02010C	住宿和餐饮业增加值	2	A0201	地区生产总值	A02	国民经济核算
28	A02010D	金融业增加值	2	A0201	地区生产总值	A02	国民经济核算
29	A02010E	房地产业增加值	2	A0201	地区生产总值	A02	国民经济核算
30	A02010F	其他行业增加值	2	A0201	地区生产总值	A02	国民经济核算
31	A02010G	人均地区生产总值	2	A0201	地区生产总值	A02	国民经济核算
32	A020201	地区生产总值指数(上年=100)	2	A0202	地区生产总值指数	A02	国民经济核算
33	A020202	第一产业增加值指数(上年=100)	2	A0202	地区生产总值指数	A02	国民经济核算
34	A020203	第二产业增加值指数(上年=100)	2	A0202	地区生产总值指数	A02	国民经济核算
35	A020204	第三产业增加值指数(上年=100)	2	A0202	地区生产总值指数	A02	国民经济核算
36	A020301	收入法生产总值	2	A0203	收入法地区生产总值	A02	国民经济核算
37	A020302	劳动者报酬	2	A0203	收入法地区生产总值	A02	国民经济核算
38	A020303	生产税净额	2	A0203	收入法地区生产总值	A02	国民经济核算
39	A020304	固定资产折旧	2	A0203	收入法地区生产总值	A02	国民经济核算
