i	dbcode	exp	id	isParent	name	open	pid	wd
0	fsnd		A01	True	综合	False		zb
1	fsnd		A02	True	国民经济核算	False		zb
2	fsnd		A03	True	人口	False		zb
3	fsnd		A04	True	就业人员和工资	False		zb
4	fsnd		A05	True	固定资产投资和房地产	False		zb
5	fsnd		A06	True	对外经济贸易	False		zb
6	fsnd		A07	True	能源	False		zb
7	fsnd		A08	True	财政	False		zb
8	fsnd		A09	True	价格指数	False		zb
9	fsnd		A0A	True	人民生活	False		zb
10	fsnd		A0B	True	城市概况	False		zb
11	fsnd		A0C	True	资源和环境	False		zb
12	fsnd		A0D	True	农业	False		zb
13	fsnd		A0E	True	工业	False		zb
14	fsnd		A0F	True	建筑业	False		zb
15	fsnd		A0G	True	运输和邮电	False		zb
16	fsnd		A0H	False	社会消费品零售总额	False		zb
17	fsnd		A0I	True	批发和零售业	False		zb
18	fsnd		A0J	True	住宿和餐饮业	False		zb
19	fsnd		A0K	True	旅游业	False		zb
20	fsnd		A0L	True	金融业	False		zb
21	fsnd		A0M	True	教育	False		zb
22	fsnd		A0N	True	科技	False		zb
23	fsnd		A0O	True	卫生	False		zb
24	fsnd		A0P	True	社会服务	False		zb
25	fsnd		A0Q	True	文化	False		zb
26	fsnd		A0R	True	体育	False		zb
27	fsnd		A0S	True	公共管理、社会保障及其他	False		zb
