i	dbcode	exp	id	isParent	name	open	pid	wd
0	fsnd		A0101	False	行政区划	False	A01	zb
1	fsnd		A0102	True	法人单位数	False	A01	zb
2	fsnd		A0103	True	企业法人单位数	False	A01	zb
0	fsnd		A0201	False	地区生产总值	False	A02	zb
1	fsnd		A0202	False	地区生产总值指数	False	A02	zb
2	fsnd		A0203	False	收入法地区生产总值	False	A02	zb
3	fsnd		A0204	False	支出法地区生产总值	False	A02	zb
4	fsnd		A0205	False	居民消费水平	False	A02	zb
0	fsnd		A0301	False	总人口	False	A03	zb
1	fsnd		A0302	False	人口出生率、死亡率和自然增长率	False	A03	zb
2	fsnd		A0303	False	人口平均预期寿命	False	A03	zb
3	fsnd		A0308	True	人口抽样调查样本数据	False	A03	zb
0	fsnd		A0401	False	按行业分城镇单位就业人员	False	A04	zb
1	fsnd		A0402	False	按行业分私营企业和个体就业人员	False	A04	zb
2	fsnd		A0403	False	按行业分城镇私营企业和个体就业人员	False	A04	zb
3	fsnd		A0404	False	私营企业就业人员	False	A04	zb
4	fsnd		A0405	False	个体就业人员	False	A04	zb
5	fsnd		A0406	False	城镇单位就业人员工资总额和指数	False	A04	zb
6	fsnd		A0407	False	城镇单位就业人员平均工资和指数	False	A04	zb
7	fsnd		A0408	False	按登记注册类型分城镇单位就业人员平均工资	False	A04	zb
8	fsnd		A0409	False	按行业分城镇单位就业人员工资总额	False	A04	zb
9	fsnd		A040A	False	按行业分城镇单位就业人员平均工资	False	A04	zb
10	fsnd		A040B	False	按行业分城镇私营单位就业人员平均工资	False	A04	zb
11	fsnd		A040C	False	城镇登记失业人员及失业率	False	A04	zb
0	fsnd		A0501	False	全社会固定资产投资	False	A05	zb
1	fsnd		A0502	False	按登记注册类型分全社会固定资产投资	False	A05	zb
2	fsnd		A0503	False	按资金来源分固定资产投资	False	A05	zb
3	fsnd		A0504	False	全社会住宅投资	False	A05	zb
4	fsnd		A0505	False	按行业分全社会固定资产投资	False	A05	zb
5	fsnd		A0506	False	全社会建设总规模	False	A05	zb
6	fsnd		A0507	False	全社会房屋施工、竣工面积和价值	False	A05	zb
7	fsnd		A0508	False	固定资产投资(不含农户)资金来源	False	A05	zb
8	fsnd		A0509	False	按隶属关系分固定资产投资(不含农户)	False	A05	zb
9	fsnd		A050A	False	按构成和建设性质分固定资产投资(不含农户)	False	A05	zb
10	fsnd		A050B	False	固定资产投资(不含农户)建设规模	False	A05	zb
11	fsnd		A050C	False	按行业分固定资产投资(不含农户)	False	A05	zb
12	fsnd		A050D	False	按项目规模分固定资产投资(不含农户)	False	A05	zb
13	fsnd		A050E	False	能源工业固定资产投资(不含农户)	False	A05	zb
14	fsnd		A050F	False	固定资产投资(不含农户)房屋施工、竣工面积和房屋竣工价值	False	A05	zb
15	fsnd		A050G	False	固定资产投资(不含农户)按行业分新增固定资产	False	A05	zb
16	fsnd		A050H	False	固定资产投资(不含农户)施工、投产项目个数	False	A05	zb
17	fsnd		A050I	False	固定资产投资(不含农户)新增固定资产及交付使用率	False	A05	zb
18	fsnd		A050J	False	农村农户固定资产投资和建房	False	A05	zb
19	fsnd		A051C	False	房地产开发企业个数	False	A05	zb
20	fsnd		A051D	False	房地产开发企业从业人员数	False	A05	zb
21	fsnd		A051E	False	房地产开发企业土地开发及购置	False	A05	zb
22	fsnd		A051F	False	房地产开发企业投资总规模及完成情况	False	A05	zb
23	fsnd		A051G	False	按用途分房地产开发企业完成投资	False	A05	zb
24	fsnd		A051H	False	房地产开发企业资金来源	False	A05	zb
25	fsnd		A051I	False	房地产开发企业房屋建筑面积和造价	False	A05	zb
26	fsnd		A051J	False	按用途分房地产开发企业新开工面积	False	A05	zb
27	fsnd		A051K	False	按用途分商品房销售面积	False	A05	zb
28	fsnd		A051L	False	按用途分商品房销售额	False	A05	zb
29	fsnd		A051M	False	按用途分商品房平均销售价格	False	A05	zb
30	fsnd		A051N	False	房地产开发企业资产负债	False	A05	zb
31	fsnd		A051O	False	房地产开发企业经营情况	False	A05	zb
32	fsnd		A051P	False	按项目规模分房地产开发完成投资	False	A05	zb
33	fsnd		A051Q	False	房地产开发企业成套住宅竣工与销售情况	False	A05	zb
0	fsnd		A0601	False	按经营单位所在地分货物进出口总额	False	A06	zb
1	fsnd		A0602	False	按境内目的地和货源地分货物进出口总额	False	A06	zb
2	fsnd		A0603	False	外商投资企业货物进出口总额	False	A06	zb
3	fsnd		A0604	False	外商投资企业年底注册登记情况	False	A06	zb
0	fsnd		A0701	False	按行业分国有经济能源工业固定资产投资	False	A07	zb
1	fsnd		A0702	False	能源工业分行业投资	False	A07	zb
2	fsnd		A0703	False	主要能源产品生产量	False	A07	zb
3	fsnd		A0704	False	城市能源产品供应	False	A07	zb
4	fsnd		A0705	False	城市集中供热	False	A07	zb
5	fsnd		A0706	False	主要能源产品消费量	False	A07	zb
6	fsnd		A0707	False	能源消耗指标	False	A07	zb
0	fsnd		A0801	False	地方财政收入	False	A08	zb
1	fsnd		A0802	False	地方财政支出	False	A08	zb
0	fsnd		A0901	False	居民消费价格指数和商品零售价格指数(上年=100)	False	A09	zb
1	fsnd		A090A	False	居民消费价格分类指数(上年=100)(2016-)	False	A09	zb
2	fsnd		A0902	False	居民消费价格分类指数(上年=100)(-2015)	False	A09	zb
3	fsnd		A0903	False	农村居民消费价格分类指数(上年=100)	False	A09	zb
4	fsnd		A0904	False	商品零售价格分类指数(上年=100)	False	A09	zb
5	fsnd		A0905	False	农村商品零售价格指数(上年=100)	False	A09	zb
