	指标	地区	年	数据	行业	行业指标
0	农林牧渔业城镇单位就业人员	北京市	2018		农林牧渔业	人员
1	农林牧渔业城镇单位就业人员	北京市	2017	3.4116	农林牧渔业	人员
2	农林牧渔业城镇单位就业人员	北京市	2016	3.6867	农林牧渔业	人员
3	农林牧渔业城镇单位就业人员	北京市	2015	3.8949	农林牧渔业	人员
4	农林牧渔业城镇单位就业人员	北京市	2014	3.2331	农林牧渔业	人员
5	农林牧渔业城镇单位就业人员	北京市	2013	3.1346	农林牧渔业	人员
6	农林牧渔业城镇单位就业人员	北京市	2012	2.5446	农林牧渔业	人员
7	农林牧渔业城镇单位就业人员	北京市	2011	2.3632	农林牧渔业	人员
8	农林牧渔业城镇单位就业人员	北京市	2010	3.2	农林牧渔业	人员
9	农林牧渔业城镇单位就业人员	北京市	2009	3.2282	农林牧渔业	人员
10	农林牧渔业城镇单位就业人员	天津市	2018		农林牧渔业	人员
11	农林牧渔业城镇单位就业人员	天津市	2017	0.6226	农林牧渔业	人员
12	农林牧渔业城镇单位就业人员	天津市	2016	0.8475	农林牧渔业	人员
13	农林牧渔业城镇单位就业人员	天津市	2015	0.5303	农林牧渔业	人员
14	农林牧渔业城镇单位就业人员	天津市	2014	0.5045	农林牧渔业	人员
15	农林牧渔业城镇单位就业人员	天津市	2013	0.5346	农林牧渔业	人员
16	农林牧渔业城镇单位就业人员	天津市	2012	0.5494	农林牧渔业	人员
17	农林牧渔业城镇单位就业人员	天津市	2011	0.6033	农林牧渔业	人员
18	农林牧渔业城镇单位就业人员	天津市	2010	0.7	农林牧渔业	人员
19	农林牧渔业城镇单位就业人员	天津市	2009	0.7394	农林牧渔业	人员
20	农林牧渔业城镇单位就业人员	河北省	2018		农林牧渔业	人员
21	农林牧渔业城镇单位就业人员	河北省	2017	3.4586	农林牧渔业	人员
22	农林牧渔业城镇单位就业人员	河北省	2016	3.8868	农林牧渔业	人员
23	农林牧渔业城镇单位就业人员	河北省	2015	4.1712	农林牧渔业	人员
24	农林牧渔业城镇单位就业人员	河北省	2014	4.5579	农林牧渔业	人员
25	农林牧渔业城镇单位就业人员	河北省	2013	5.2407	农林牧渔业	人员
26	农林牧渔业城镇单位就业人员	河北省	2012	5.5239	农林牧渔业	人员
27	农林牧渔业城镇单位就业人员	河北省	2011	5.7072	农林牧渔业	人员
28	农林牧渔业城镇单位就业人员	河北省	2010	6.6	农林牧渔业	人员
29	农林牧渔业城镇单位就业人员	河北省	2009	7.0711	农林牧渔业	人员
30	农林牧渔业城镇单位就业人员	山西省	2018		农林牧渔业	人员
31	农林牧渔业城镇单位就业人员	山西省	2017	1.6464	农林牧渔业	人员
32	农林牧渔业城镇单位就业人员	山西省	2016	1.7389	农林牧渔业	人员
33	农林牧渔业城镇单位就业人员	山西省	2015	1.8181	农林牧渔业	人员
34	农林牧渔业城镇单位就业人员	山西省	2014	2.0227	农林牧渔业	人员
35	农林牧渔业城镇单位就业人员	山西省	2013	2.1983	农林牧渔业	人员
36	农林牧渔业城镇单位就业人员	山西省	2012	2.8246	农林牧渔业	人员
